name,rating,votes,salary,sectors,location
JLL,4.1,6.6k,25.9k,Real Estate ,Gurugram
Omega Healthcare,3.7,6.6k,28.6k,BPO ,Chennai
Muthoot Finance,3.7,6.6k,13.5k,NBFC ,Bengaluru
eClerx,3.1,6.5k,33.7k,IT Services & Consulting ,Pune
IIFL Finance,4.0,6.5k,13.9k,NBFC ,Mumbai
Indian Army,4.7,6.4k,9.6k,Defence & Aerospace ,New
DMart,3.9,6.4k,19.7k,Retail ,Mumbai
PolicyBazaar,3.8,6.3k,18.9k,Internet ,Gurugram
Piramal Finance,4.2,6.3k,13k,NBFC ,Mumbai
Indiamart Intermesh,3.5,6.3k,22.3k,Internet ,Noida
Virtusa Consulting Services,3.7,6.3k,58.1k,IT Services & Consulting ,Hyderabad
HSBC Group,3.8,6.2k,46.2k,Financial Services ,Bengaluru
SMFG India Credit,3.9,6.2k,11.3k,NBFC ,Mumbai
Access Healthcare,3.7,6.1k,29.9k,BPO ,Chennai
HCL Group,3.5,6.1k,38.5k,IT Services & Consulting ,Chennai
BigBasket,3.9,6k,20.3k,Internet ,Bengaluru
Manappuram Finance,3.9,6k,9.6k,NBFC ,Bengaluru
ICICI Lombard General Insurance Company,3.5,6k,20.6k,Insurance ,Mumbai
Siemens,3.9,5.9k,35.3k,Industrial Automation ,Bengaluru
GlobalLogic,3.5,5.9k,42.6k,IT Services & Consulting ,Hyderabad
Firstsource Solutions,3.5,5.9k,25.3k,BPO ,Bengaluru
Apollo Hospitals,4.0,5.9k,17.2k,Healthcare ,Chennai
Aurobindo Pharma,4.0,5.9k,20.4k,Pharma ,Hyderabad
Shapoorji Pallonji Group,4.1,5.9k,15.5k,Engineering & Construction ,Mumbai
Tata Capital,4.0,5.9k,16.5k,NBFC ,Mumbai
UST,3.7,5.8k,41.4k,IT Services & Consulting ,Bengaluru
Swiggy,3.7,5.8k,25.1k,Internet ,Bengaluru
Standard Chartered,3.6,5.8k,42.7k,Banking ,Chennai
Mahindra Finance,3.8,5.8k,12.6k,NBFC ,Mumbai
Bosch Global Software Technologies,3.7,5.8k,41.3k,IT Services & Consulting ,Bengaluru
Udaan,3.9,5.7k,15.3k,Internet ,Bengaluru
