name,rating,votes,salary,sectors,location
Taj Hotels Resorts and Palaces,4.2,2.4k,5k,Hospitality ,Mumbai
Aavas Financiers,3.9,2.4k,5.8k,NBFC ,Jaipur
Statestreet HCL Services,3.4,2.4k,12.4k,BPO ,Chennai
Delhi Public School,3.7,2.4k,5.3k,Education & Training ,New
Lodha,4.2,2.4k,9.1k,Real Estate ,Mumbai
Capgemini Engineering,3.3,2.4k,13.1k,IT Services & Consulting ,Bengaluru
Axis Direct,3.6,2.4k,4.6k,Financial Services ,Mumbai
TCE,3.9,2.4k,10.1k,Engineering & Construction ,Mumbai
Straive,3.3,2.4k,10.8k,IT Services & Consulting ,Chennai
Apollo Pharmacy,3.7,2.4k,7.3k,Pharma ,Hyderabad
Cybage,3.7,2.4k,17.2k,IT Services & Consulting ,Pune
Kia India,3.9,2.4k,8.5k,Automobile ,Anantapur
Sopra Steria,3.9,2.4k,14.4k,IT Services & Consulting ,Noida
GVK Emergency Management and Research Institute,3.6,2.4k,4.8k,Non-Profit ,Lucknow
SBI Securities,3.6,2.4k,7k,Financial Services ,Mumbai
Xoriant,4.0,2.4k,11.7k,IT Services & Consulting ,Pune
KocharTech,3.6,2.4k,3.8k,IT Services & Consulting ,Kolkata
Akums Drugs & Pharmaceuticals Limited,4.2,2.4k,6.3k,Pharma ,Haridwar
Sobha,3.8,2.3k,8.6k,Real Estate ,Bengaluru
Star Union Dai-ichi Life Insurance,3.8,2.3k,5.5k,Insurance ,Mumbai
Endurance Technologies Limited,3.9,2.3k,8k,Auto Components ,Chhatrapati
BNP Paribas,3.7,2.3k,19.5k,Banking ,Mumbai
Bharat Petroleum,4.2,2.3k,7.5k,Oil & Gas ,Mumbai
Daikin Airconditioning India Pvt. Ltd.,4.2,2.3k,8.1k,Consumer Electronics & Appliances ,Neemrana
Eureka Forbes,3.6,2.3k,5.7k,Consumer Electronics & Appliances ,Mumbai
JK Tyre,3.9,2.3k,7.1k,Auto Components ,Chennai
Panasonic Life Solutions India,4.0,2.3k,7.2k,Consumer Electronics & Appliances ,Mumbai
Lifestyle,4.2,2.3k,6.6k,Retail ,Bengaluru
Myntra,3.8,2.3k,10.9k,Internet ,Bengaluru
AWL Agri Business,4.1,2.3k,7k,FMCG ,Ahmedabad
Radisson Hotels,4.0,2.3k,5.3k,Hospitality ,New
SBI General Insurance,3.5,2.3k,6.9k,Insurance ,Mumbai
Bharti AXA Life Insurance,3.6,2.3k,5.3k,Insurance ,Mumbai
Unacademy,3.0,2.3k,10.3k,EdTech ,Bengaluru
Cisco,4.1,2.3k,19.5k,Hardware & Networking ,Bengaluru
Renault Nissan Technology & Business Centre India,3.6,2.3k,15.4k,Automobile ,Chennai
Meesho,3.7,2.3k,10.1k,Internet ,Bengaluru
Coromandel International,4.1,2.3k,7.8k,Agro Chemicals ,Visakhapatnam
Sify Technologies,3.6,2.2k,10.2k,IT Services & Consulting ,Chennai
ValueLabs,3.4,2.2k,16.6k,IT Services & Consulting ,Hyderabad
Indian Railways,4.2,2.2k,3.6k,Railways ,Kolkata
Lava International,3.9,2.2k,4.4k,Consumer Electronics & Appliances ,Noida
Henry Harvin Education,4.0,2.2k,989,EdTech ,Noida
Whirlpool,4.0,2.2k,8k,Consumer Electronics & Appliances ,Pune
Shahi Exports,3.9,2.2k,6.9k,Fashion & Textile ,Bengaluru
Allstate,3.7,2.2k,12.1k,Insurance ,Pune
Bank of Baroda,3.6,2.2k,7.1k,Banking ,Mumbai
GlaxoSmithKline Pharmaceuticals,4.1,2.2k,5.9k,Pharma ,Bengaluru
Mercedes-Benz Research and Development India,3.5,2.2k,18.6k,IT Services & Consulting ,Bengaluru
Generali Central Life Insurance,3.4,2.2k,6.8k,Insurance ,Mumbai
Poonawalla Fincorp,3.5,2.2k,6.2k,NBFC ,Pune
Manipal Hospitals,4.0,2.2k,7.5k,Healthcare ,Bengaluru
Infinite Computer Solutions,3.2,2.2k,16k,IT Services & Consulting ,Bengaluru
Spark Minda,3.8,2.2k,7.5k,Auto Components ,Pune
Jio Platforms,3.4,2.2k,15.2k,IT Services & Consulting ,Mumbai
Nuvoco Vistas,4.1,2.2k,7.3k,Building Material ,Kolkata
Saint-Gobain,3.8,2.2k,12.2k,Building Material ,Mumbai
FirstCry,3.5,2.2k,9.2k,Retail ,Pune
Life Insurance Corporation of India,4.4,2.2k,4.8k,Insurance ,Mumbai
Brakes India,3.9,2.2k,7.3k,Auto Components ,Chennai
CAMS,3.5,2.2k,9.3k,Financial Services ,Chennai
Cargill,3.9,2.2k,8.8k,Food Processing ,Bengaluru
NTT DATA Business Solutions,4.1,2.2k,13.5k,IT Services & Consulting ,Bengaluru
BHEL,4.2,2.2k,5.3k,Electrical Equipment ,Bengaluru
Nokia Networks,4.1,2.2k,10.3k,Hardware & Networking ,Chennai
upGrad,3.3,2.2k,9.6k,EdTech ,Bengaluru
Microsoft Corporation,3.8,2.2k,32.6k,Software Product ,Bengaluru
Kotak Securities,3.4,2.2k,9.7k,Financial Services ,Mumbai
Power Mech Projects,3.8,2.2k,6.9k,Engineering & Construction ,Hyderabad
CitiusTech,3.1,2.1k,14.9k,IT Services & Consulting ,Mumbai
Force Motors,3.7,2.2k,8.3k,Automobile ,Pune
Pfizer,3.9,2.1k,6k,Pharma ,Visakhapatnam
"Maruti Suzuki India Limited, Hansalpur",4.2,2.1k,6.9k,Automobile ,Ahmedabad
Provana,4.1,2.1k,4.7k,BPO ,Noida
EPAM Systems,3.6,2.1k,25.2k,IT Services & Consulting ,Hyderabad
IndusInd General Insurance,3.6,2.1k,7.2k,Insurance ,Mumbai
Biological E,4.2,2.1k,7.2k,Pharma ,Hyderabad
SGS,3.7,2.1k,6.8k,Engineering & Construction ,Mumbai
Huawei Technologies,4.1,2.1k,7.7k,Telecom ,Bengaluru
ITC Hotels,4.0,2.1k,5.5k,Hospitality ,Bengaluru
K12 Techno Services,3.7,2.1k,5.4k,EdTech ,Bengaluru
Reliance Trends,4.1,2.1k,4.1k,Retail ,Bengaluru
Morgan Stanley,3.5,2.1k,28.5k,Financial Services ,Mumbai
Simplex Infrastructures,3.4,2.1k,4.2k,Engineering & Construction ,Kolkata
Raymond Lifestyle Limited,4.2,2.1k,6.3k,Fashion & Textile ,Mumbai
Delphi TVS,3.8,2.1k,5.6k,Auto Components ,Chennai
Aditya Birla Health Insurance Co,3.7,2.1k,7.4k,Insurance ,Mumbai
Narayana Health,4.0,2.1k,6.3k,Healthcare ,Bengaluru
YASH Technologies,3.6,2.1k,16.3k,IT Services & Consulting ,Hyderabad
Ola Cabs,3.2,2.1k,8.8k,Internet ,Bengaluru
Renault-Nissan,4.1,2.1k,7.4k,Automobile ,Chennai
Extramarks Education,3.2,2.1k,7.2k,EdTech ,Noida
Shadowfax Technologies,3.5,2.1k,7.9k,Logistics ,Bengaluru
Trent,3.8,2k,5.3k,Retail ,Mumbai
IDBI Bank,3.3,2k,6.4k,Banking ,Mumbai
Haier Appliances India,3.9,2k,7.3k,Consumer Electronics & Appliances ,Pune
Senco Gold,4.4,2k,1.6k,Jewellery ,Kolkata
Novartis,4.2,2k,10.6k,Pharma ,Hyderabad
Honeywell Automation,3.7,2k,12.7k,Industrial Automation ,Pune
Motherson Automotive Technologies and Engineering,3.7,2k,7.8k,Auto Components ,Chennai
AECOM,4.2,2k,7.3k,Engineering & Construction ,Gurugram
R.R. Donnelley,3.6,2k,10.3k,Marketing & Advertising ,Chennai
Schindler,3.9,2k,6.4k,Industrial Machinery ,Pune
HSBC Electronic Data Processing,4.0,2k,8.3k,IT Services & Consulting ,Bengaluru
L&T Energy Hydrocarbon,3.8,2k,8.5k,Engineering & Construction ,Vadodara
TELUS Digital,3.5,2k,10.9k,IT Services & Consulting ,Noida
Aye Finance,4.1,2k,3.7k,NBFC ,Gurugram
Globiva,3.0,2k,5.5k,BPO ,Gurugram
SAP,4.1,2k,18.5k,Software Product ,Bengaluru
Paisabazaar.com,3.4,2k,7.1k,Internet ,Gurugram
CMS Infosystems,3.5,2k,5k,Software Product ,Mumbai
Uflex,3.8,2k,6.9k,Packaging ,Noida
V-Guard,4.3,2k,4.7k,Consumer Electronics & Appliances ,Kochi
Ninjacart,3.8,2k,4.9k,Internet ,Bengaluru
Crisil,3.5,2k,13.8k,Analytics & KPO ,Mumbai
Godrej Properties,3.6,2k,9.7k,Real Estate ,Mumbai
NCR Voyix,3.4,2k,9.5k,IT Services & Consulting ,Hyderabad
Microland,3.5,2k,10.7k,IT Services & Consulting ,Bengaluru
Adecco Group,3.8,2k,7.6k,Recruitment ,Bengaluru
Dr Lal PathLabs,4.2,2k,4.5k,Healthcare ,New
Hinduja Leyland Finance,4.3,2k,3k,NBFC ,Chennai
Spinny,3.6,2k,8k,Internet ,Gurugram
Aadhar Housing Finance,4.0,2k,4.9k,NBFC ,Mumbai
CNH (Case New Holland),3.7,2k,6.2k,Industrial Machinery ,Gurugram
Gabriel India Limited,4.0,2k,5.8k,Auto Components ,Pune
State Street Syntel,3.7,2k,6.2k,Financial Services ,Pune
Parle Products,3.9,2k,3.6k,FMCG ,Mumbai
Philips,3.8,2k,11.3k,Medical Equipment ,Bengaluru
Tata Power,3.9,2k,8k,Power ,Mumbai
HTC Global Services,3.3,2k,13.6k,IT Services & Consulting ,Chennai
G R Infraprojects,4.1,2k,5.4k,Engineering & Construction ,Gurugram
Trident Group,3.3,2k,5.6k,Hospitality ,Barnala
CSB Bank,3.2,2k,7.1k,Banking ,Mumbai
Orchids International School,4.0,2k,4k,Education & Training ,Bengaluru
DHL Supply Chain,4.1,2k,6.4k,Logistics ,Mumbai
Angel One,3.5,2k,7.9k,FinTech ,Mumbai
Rungta Mines,3.9,2k,6.3k,Metals & Mining ,Chaibasa
NTPC,4.2,2k,4.4k,Power ,New
Iris Software,3.7,1.9k,8.2k,IT Services & Consulting ,Noida
ICICI Home Finance,3.8,1.9k,5.7k,Financial Services ,Mumbai
Verizon,3.5,1.9k,12.3k,Telecom ,Hyderabad
Lucas-TVS,3.9,1.9k,6.2k,Auto Components ,Chennai
Infinx,3.7,1.9k,5.6k,Software Product ,Hyderabad
Thomson Reuters,3.7,1.9k,11k,Software Product ,Bengaluru
Safexpress,3.9,1.9k,5.8k,Logistics ,New
Google,4.4,1.9k,37.2k,Software Product ,Bengaluru
NeoSOFT,3.2,1.9k,11.2k,IT Services & Consulting ,Mumbai
PI Industries,3.8,1.9k,7k,Agro Chemicals ,Vadodara
Torrent Power,3.8,2k,8k,Power ,Ahmedabad
Jindal Saw,4.1,1.9k,7k,Iron & Steel ,Mundra
Polycab Wires,4.0,1.9k,7.2k,Electrical Equipment ,Vadodara
Tekwissen,4.9,1.9k,625,IT Services & Consulting ,Visakhapatnam
Capri Global Capital,3.6,1.9k,4.5k,NBFC ,New
Medi Assist India,3.4,1.9k,7.5k,Insurance ,Bengaluru
Hindustan Aeronautics,4.3,1.9k,4.5k,Defence & Aerospace ,Bengaluru
Fusion CX,3.2,1.9k,4.6k,BPO ,Kolkata
Tata Tele Business Services,3.4,1.9k,4.5k,Telecom ,Mumbai
Infra.Market,3.8,1.9k,4k,Building Material ,Mumbai
TVS Sundram Fasteners,3.6,1.9k,6.7k,Auto Components ,Chennai
AXA Global Business Services,3.6,1.9k,7.2k,IT Services & Consulting ,Pune
Aragen Life Sciences,3.9,1.9k,6.6k,Clinical Research ,Hyderabad
First American (India),3.5,1.9k,9.5k,Insurance ,Bengaluru
KENT RO Systems,3.7,1.9k,4.5k,Consumer Electronics & Appliances ,Noida
Digit Insurance,3.6,1.9k,6.4k,Insurance ,Bengaluru
Haldiram Foods International Limited,3.8,1.9k,6.1k,FMCG ,Nagpur
AkzoNobel,4.1,1.8k,4.6k,Chemicals ,Pune
Honda Cars,4.3,1.8k,6.3k,Automobile ,Bhiwadi
Adani Green Energy,3.9,1.8k,6.3k,Power ,Ahmedabad
Hindustan Petroleum,4.2,1.8k,6.2k,Oil & Gas ,Mumbai
DIVI'S Laboratories,3.6,1.8k,6.9k,Pharma ,Visakhapatnam
Innovsource Services,3.9,1.8k,4.6k,Recruitment ,Mumbai
MetLife,4.0,1.8k,9.7k,Insurance ,Noida
Sterling & Wilson,4.1,1.8k,6.7k,Engineering & Construction ,Mumbai
Air India,3.4,1.8k,8.4k,Aviation ,New
Isgec Heavy Engineering,3.8,1.8k,7.1k,Engineering & Construction ,Noida
Pine Labs,3.2,1.8k,7.8k,FinTech ,Noida
Cafe Coffee Day,3.7,1.8k,3.7k,Hospitality ,Bengaluru
USV,4.0,1.8k,5.8k,Pharma ,Mumbai
Reckitt Benckiser,3.9,1.8k,6.5k,FMCG ,Gurugram
SS&C TECHNOLOGIES,3.2,1.8k,13.6k,IT Services & Consulting ,Mumbai
HDFC Securities,3.4,1.8k,6.2k,Financial Services ,Mumbai
USHA International,4.0,1.8k,4.9k,Consumer Electronics & Appliances ,Gurugram
LivSpace,3.3,1.8k,8.3k,Architecture & Interior Design ,Bengaluru
Annapurna Finance,3.8,1.8k,3.8k,NBFC ,Bhubaneswar
XBP Global,3.1,1.8k,7.6k,Internet ,Chennai
